METHODES;Genre;EPITHETE;CIRCONFERENCE EN CM;DIAMETRE EN CM;Altitude en m;groupe;espece;Height;volume_en_m3;BasalArea;WoodDensity;Superficie_ha
P2;Hagenia;abyssinica;81;25,79617834;2450;Placeau;Hagenia abyssinica;9,99;514,52;0,05;0,57;2
P2;Hagenia;abyssinica;48;15,2866242;2450;Placeau;Hagenia abyssinica;7,59;137,28;0,02;0,57;2
P2;Hagenia;abyssinica;65;20,70063694;2450;Placeau;Hagenia abyssinica;9,06;300,49;0,03;0,57;2
P2;Hagenia;abyssinica;64;20,38216561;2450;Placeau;Hagenia abyssinica;8,99;289,06;0,03;0,57;2
P2;Hagenia;abyssinica;49;15,60509554;2450;Placeau;Hagenia abyssinica;7,7;145,13;0,02;0,57;2
P2;Hagenia;abyssinica;67;21,33757962;2450;Placeau;Hagenia abyssinica;9,19;323,84;0,04;0,57;2
P2;Hagenia;abyssinica;72;22,92993631;2450;Placeau;Hagenia abyssinica;9,5;386,6;0,04;0,57;2
P2;Hagenia;abyssinica;86;27,38853503;2450;Placeau;Hagenia abyssinica;10,22;593,36;0,06;0,57;2
P2;Hagenia;abyssinica;35;11,14649682;2450;Placeau;Hagenia abyssinica;5,83;56,06;0,01;0,57;2
P2;Hagenia;abyssinica;129;41,08280255;2450;Placeau;Hagenia abyssinica;11,58;1512,72;0,13;0,57;2
P2;Hagenia;abyssinica;44;14,01273885;2450;Placeau;Hagenia abyssinica;7,13;108,36;0,02;0,57;2
P2;Hagenia;abyssinica;74;23,56687898;2450;Placeau;Hagenia abyssinica;9,62;413,53;0,04;0,57;2
P2;Hagenia;abyssinica;66;21,01910828;2450;Placeau;Hagenia abyssinica;9,12;311,85;0,03;0,57;2
P2;Hagenia;abyssinica;45;14,33121019;2450;Placeau;Hagenia abyssinica;7,25;115,25;0,02;0,57;2
P2;Hagenia;abyssinica;57;18,15286624;2450;Placeau;Hagenia abyssinica;8,45;215,51;0,03;0,57;2
P2;Hagenia;abyssinica;81;25,79617834;2450;Placeau;Hagenia abyssinica;9,99;514,52;0,05;0,57;2
P2;Hagenia;abyssinica;61;19,42675159;2450;Placeau;Hagenia abyssinica;8,77;256,17;0,03;0,57;2
P2;Hagenia;abyssinica;57;18,15286624;2450;Placeau;Hagenia abyssinica;8,45;215,51;0,03;0,57;2
P2;Hagenia;abyssinica;48;15,2866242;2450;Placeau;Hagenia abyssinica;7,59;137,28;0,02;0,57;2
P2;Hagenia;abyssinica;64;20,38216561;2450;Placeau;Hagenia abyssinica;8,99;289,06;0,03;0,57;2
P2;Hagenia;abyssinica;69;21,97452229;2450;Placeau;Hagenia abyssinica;9,32;348,32;0,04;0,57;2
P2;Hagenia;abyssinica;45;14,33121019;2450;Placeau;Hagenia abyssinica;7,25;115,25;0,02;0,57;2
